,Name,Category of registration,Revenue,Nb employees,GUO Name,GUO Revenue,GUO Nb employees,BvD ID,Degree
632,Cabinet d'avocats SAMMAN,Law firms,3742.4608192122,13.0,THAIMA SAMMAN,,,FR521433128,3.0
633,UPS Europe SRL/BV,Companies and groups,,,UPS EUROPE SRL,,,IT*110349147635,3.0
634,World Federation of Advertisers,Trade and business associations,,13.0,,,,BE0408292301,1.0
635,EDEKA ZENTRALE Stiftung & Co. KG,Companies and groups,49965455.384016,83534.0,EDEKA ZENTRALE STIFTUNG & CO. KG,49965.0,83534.0,DE2151043450,1.0
636,CDISCOUNT,Companies and groups,2536879.32966464,1094.0,MR JEAN-CHARLES NAOURI,,,FR424059822,5.0
637,BirdLife Suomi - BirdLife Finland,"Non-governmental organisations, platforms and networks and similar",319.979846477509,15.0,"BIRDLIFE SUOMI RY, BIRDLIFE FINLAND RF",0.0,15.0,FI06058406,2.0
638,Metso Outotec Oyj,Companies and groups,5743638.24427128,16705.0,METSO OUTOTEC CORPORATION,5744.0,16705.0,FI08281054,2.0
639,Konrad-Adenauer-Stiftung,"Non-governmental organisations, platforms and networks and similar",,615.0,KONRAD-ADENAUER-STIFTUNG E.V.,,615.0,DE5030041950,14.0
640,DP World,Companies and groups,7729148.0,,GOVERNMENT OF DUBAI,,5000.0,AE30099GU,1.0
641,Mundys Group,Companies and groups,,,,,,,6.0
642,"Povod, Institute for culture and development of international relations in culture","Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
643,Airborne Wind Europe,Trade and business associations,,1.0,,,,BE0730687538,2.0
644,Berghof Foundation Operations gGmbH,"Non-governmental organisations, platforms and networks and similar",16136.7091432905,99.0,BERGHOF FOUNDATION TRUST GMBH,,,DE2011638810,2.0
645,Coalition for App Fairness,Trade and business associations,100.0,2.0,,,,US331786457L,2.0
646,International Organisation of Employers,Trade and business associations,,,,,,,2.0
647,Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e.V.,Trade and business associations,,1.0,BUNDESVERBAND GÜTERKRAFT- VERKEHR LOGISTIK UND ENTSORGUNG (BGL),,1.0,DE6070094224,2.0
648,European Association of Electrical Contractors,Trade and business associations,930.0,5.0,"EUROPEAN ELECTRICAL CONTRACTOR, INC.",1.0,5.0,US161547162L,11.0
649,Timbeter,Companies and groups,138.007700443268,16.0,,,,BR45362285000149,1.0
650,The European Federation of Corrugated Board Manufacturers,Trade and business associations,,,,,,,6.0
651,Vonovia SE,Companies and groups,9786903.58436108,15915.0,VONOVIA SE,9787.0,15915.0,DE5050438829,1.0
652,Organización de Consumidores y Usuarios,Trade and business associations,,,,,,ESG78047321,3.0
653,EWABA,Trade and business associations,,,,,,BE0539800446,6.0
654,Liga Nacional de Fútbol Profesional,Companies and groups,,,LIGA NACIONAL DE FUTBOL PROFESIONAL,,17.0,ESG78069762,1.0
655,Bundesverband Mittelständische Wirtschaft e.V.,,,,,,,DE*821317016,1.0
656,European Policies Research Centre Delft,,,,,,,,1.0
657,OVH Groupe,Companies and groups,788101.0,2791.0,OVH GROUPE SA,788.0,2791.0,FR537407926,15.0
658,Dutch Waste Management Association,Trade and business associations,,,,,,,1.0
659,Groupe Limagrain,Companies and groups,,,,,,FRLEI125929,1.0
660,Stichting De Noordzee,"Non-governmental organisations, platforms and networks and similar",,3.0,,,,NL41200744,1.0
661,Japanese Bankers Association,Trade and business associations,,,,,,,1.0
662,Prekursor Foundation for Social Policy,"Non-governmental organisations, platforms and networks and similar",,,,,,,2.0
663,Aurora Lithium,Companies and groups,0.0,0.0,NORTHVOLT AB,113.0,1912.0,SE5591630610,5.0
664,Institute for Erasmus Peace Solutions,Think tanks and research institutions,,,,,,BE0723882789,1.0
665,BalticSea2020,,,,,,,,1.0
666,"Delta Air Lines, Inc.",Companies and groups,50582000.0,95000.0,"DELTA AIR LINES, INC.",50582.0,95000.0,US580218548,1.0
667,SAS VALUSED,Companies and groups,,,DUBOIS JULIEN,,,FR909930729,1.0
668,Fastned BV,Companies and groups,38374.1163885593,114.0,FASTNED ADMINISTRATIE STICHTING,,,NL54606179,1.0
669,Boliden Group,Companies and groups,,,,,,TN1643711H,9.0
670,EDSO for Smart Grids,Trade and business associations,,8.0,,,,BE0825054581,8.0
671,European Ship Suppliers Organization,Trade and business associations,,0.0,,,,DK39308118,1.0
672,Trade Republic Bank GmbH,Companies and groups,,700.0,TRADE REPUBLIC BANK GMBH,,700.0,DE8171103802,1.0
673,CLIMCOM Berlin - Climate&Company - the private institute for climate research and training,Think tanks and research institutions,,7.0,,,,DE2012950022,2.0
674,"Tobaksindustrien, (Tobacco Manufactures Association of Denmark)",Trade and business associations,,,,,,,1.0
675,Bank Julius Baer & Co. Ltd,Companies and groups,39225.5525591373,,,,,SG200202159N,6.0
676,Provincie Utrecht,"Other organisations, public or mixed entities",,,PROVINCIE UTRECHT,,,NL30277172,1.0
677,European Regions Research and Innovation Network,"Non-governmental organisations, platforms and networks and similar",,11.0,,,,BE0885520027,4.0
678,Values Unite,,2330.0,4.0,,,,US296886227L,1.0
679,Pan African Farmers Organization,,,,,,,,1.0
680,European Association for the Study of Obesity,"Non-governmental organisations, platforms and networks and similar",2567.48310025525,,,,,GB05483950,2.0
681,European Financial Reporting Advisory Group,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
682,Sandbag Climate Campaign,"Non-governmental organisations, platforms and networks and similar",,2.0,,,,BE0707935890,3.0
683,Bank of America Corporation,Companies and groups,94240000.0,216033.0,BANK OF AMERICA CORPORATION,94240.0,216033.0,US560906609,9.0
684,Unie van Zelfstandige Ondernemers,Trade and business associations,25576.6600200254,99.0,UNIE VAN ZELFSTANDIGE ONDERNEMERS,26.0,99.0,BE0410337219,2.0
685,Zero Waste Europe,"Non-governmental organisations, platforms and networks and similar",,,ZERO WASTE EUROPE,,,NL59145870,14.0
686,Dow Europe GmbH,Companies and groups,,75.0,DOW INC.,56902.0,37800.0,CHCHE109399223,20.0
687,Together for Girls,"Non-governmental organisations, platforms and networks and similar",230.0,7.0,,,,US306099806L,4.0
688,Carlyle,Companies and groups,428.002999999493,,CARLYLE SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,0.0,,HU13979593,1.0
689,Vattenfall,Companies and groups,23188936.0254705,19638.0,REGERINGSKANSLIET,0.0,4500.0,SE5560362138,23.0
690,European Institute of Peace,"Non-governmental organisations, platforms and networks and similar",11526.9161757874,33.0,,,,BE0550758080,3.0
691,Automotive Skills Alliance ASBL,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0779592463,2.0
692,Finnair,Companies and groups,2677271.37547731,5230.0,SUOMEN VALTIO/ALV,0.0,2.0,FI01080233,3.0
693,Asociatia ROMA ENTREPRENEURSHIP DEVELOPMENT,"Non-governmental organisations, platforms and networks and similar",,,ROMA ENTREPRENEURSHIP DEVELOPMENT,,,RO*110295071844,3.0
694,Blue Marine Foundation,"Non-governmental organisations, platforms and networks and similar",10225.0080737152,33.0,BLUE MARINE FOUNDATION,10.0,33.0,GB07176743,3.0
695,Norges Skogeierforbund,Trade and business associations,,,NORGES SKOGEIERFORBUND,,,NO938752826,1.0
696,Broadcast Networks Europe,Trade and business associations,,,,,,BE0831231503,1.0
697,AFL-CIO,,19900.0,25.0,,,,US134479381L,5.0
698,EDENRED,Companies and groups,2166263.56065273,9750.0,EDENRED,2166.0,9750.0,FR493322978,1.0
699,Metallinjalostajat ry - Finnish Steel and Metal Producers,Trade and business associations,106.659948825836,2.0,,,,FI15169191,1.0
700,Construction Products Europe,Trade and business associations,,1.0,,,,BE0465221205,5.0
701,Moderna Inc.,Companies and groups,19263000.0,3900.0,"MODERNA, INC.",19263.0,3900.0,US813467528,5.0
702,PATH,"Non-governmental organisations, platforms and networks and similar",14923.2393560093,56.0,PATH CORPORATION,15.0,56.0,JP1011001070286,1.0
703,European Data Centre Association,Trade and business associations,,1.0,,,,BE0847628857,3.0
704,Jonge Klimaatbeweging,"Non-governmental organisations, platforms and networks and similar",,,,,,NL67178995,1.0
705,Kry International AB,Companies and groups,164066.452253871,2107.0,KRY INTERNATIONAL AB,164.0,2107.0,SE5569670820,1.0
706,SOS MEDITERRANEE,"Non-governmental organisations, platforms and networks and similar",,10.0,SOS MEDITERRANEE DEUTSCHLAND E.V.,,10.0,DE2012633023,1.0
707,Zentraler Immobilien Ausschuss,Trade and business associations,,50.0,ZENTRALER IMMOBILIEN AUSSCHUSS (ZIA) E.V.,,50.0,DE2011798968,6.0
708,Finnish Food and Drink Industries' Federation (Elintarviketeollisuusliitto ry),Trade and business associations,,,,,,,2.0
709,Stichting Onderzoek Multinationale Ondernemingen,"Non-governmental organisations, platforms and networks and similar",,,STICHTING ONDERZOEK MULTINATIONALE ONDERNEMINGEN,,,NL41223308,1.0
710,Verband der Kali- und Salzindustrie e.V.,Trade and business associations,,,,,,,1.0
711,Potsdam-Institut für Klimafolgenforschung,Think tanks and research institutions,,320.0,,,,DE2010438043,3.0
712,EuroMed Rights / EuroMed Droits,"Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
713,AnimalhealthEurope,Trade and business associations,,7.0,,,,BE0875168345,6.0
714,Office of the Anglican Bishop in Europe,Organisations representing churches and religious communities,,4.0,,,,BE0567712888,3.0
715,RENAULT,Companies and groups,50856530.1996469,105812.0,RENAULT,50857.0,105812.0,FR441639465,13.0
716,Siemens Healthineers AG,Companies and groups,21178513.6617422,70000.0,SIEMENS AG,72158.0,311000.0,DE8171150902,9.0
717,Garou SAS,Companies and groups,405.550044359207,2.0,MR JEROME GAUDIN,,,FR489741157,1.0
718,Bernstein Public Policy,Professional consultancies,,2.0,,,,BE0538759675,1.0
719,European Chronic Disease Alliance,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
720,APERAM SA,Companies and groups,8699185.4262352,10700.0,APERAM SA,8699.0,10700.0,LULB155908,10.0
721,"Vimeo.com, Inc.",Companies and groups,,13.0,,,,JP1700150072560,2.0
722,Stichting The London Story,"Non-governmental organisations, platforms and networks and similar",,,,,,NL77721306,2.0
723,"Environmental Defense Fund, Incorporated",,12300.0,6.0,,,,US131233704L,3.0
724,Signum Global Advisors,Companies and groups,130.0,2.0,,,,US358630232L,4.0
725,FUNDACIÓN FOROS DE LA CONCORDIA,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
726,Föderation der Natur- und Nationalparke Europas (Föderation EUROPARC) e.V.,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,DE8230668267,2.0
727,M&G plc,Companies and groups,7852645.16866207,,M&G PLC,7853.0,,GB11444019,1.0
728,"IKV, Fondation pour le Développement Economique","Non-governmental organisations, platforms and networks and similar",,,,,,,3.0
729,European Vegetarian Union,"Non-governmental organisations, platforms and networks and similar",,,,,,DE7090145427,4.0
730,Fédération Européenne des Fabricants d'Aliments Composés,Trade and business associations,,7.0,,,,BE0408295071,10.0
731,Vestaron Corporation,Companies and groups,34300.0,65.0,,,,US315152258L,1.0
732,Fränkischer Weinbauverband e. V.,Trade unions and professional associations,,5.0,,,,DE8310082281,2.0
733,Barclays PLC,Companies and groups,30124132.2729588,87400.0,BARCLAYS PLC,30124.0,87400.0,GB00048839,13.0
734,Stiftung Mercator,"Non-governmental organisations, platforms and networks and similar",65526.8315905158,293.0,MERIDIAN STIFTUNG,,2.0,DE5110165618,1.0
735,UNION OF INTERNATIONAL HAULERS,Trade unions and professional associations,,,,,,,2.0
736,"Alinea, Avocats associés AARPI",,547.0,, ,,,FR489220137,2.0
737,ASSOCIATION MEDICALE EUROPEENNE,"Non-governmental organisations, platforms and networks and similar",,1.0,,,,BE0443863486,1.0
738,Krajowy Związek Pracodawców Producentów Trzody Chlewnej POLPIG,Trade unions and professional associations,,,,,,PL015899227,2.0
739,Vaccines Europe,Trade and business associations,,,,,,,8.0
740,WACKER CHEMIE AG,Companies and groups,8831550.42272806,15725.0,DR. ALEXANDER WACKER FAMILIENGESELLSCHAFT MIT BESCHRÄNKTER HAFTUNG,7131.0,14353.0,DE8170001557,8.0
741,Karlsruher Institut für Technologie,Academic institutions,,,KARLSRUHER INSTITUT FÜR TECHNOLOGIE,,,DELEI1388995,1.0
742,European Water and Wastewater Regulatory Authorities,Associations and networks of public authorities,,,,,,,1.0
743,Aarhus University,Academic institutions,,,,,,DK40045813,1.0
744,Fresenius Kabi Deutschland GmbH,Companies and groups,,2400.0,FRESENIUS SE & CO. KGAA,44270.0,316920.0,DE6290178199,2.0
745,European Audiovisual Production Association,Trade unions and professional associations,,,,,,,1.0
746,Forum Energii,,1128.57143899798,9.0,,,,PL364867487,2.0
747,HSBC Holdings PLC,Companies and groups,56828000.0,219000.0,HSBC HOLDINGS PLC,76566.0,219000.0,GB00617987,9.0
748,European Network of Transmission System Operators for Electricity,Trade and business associations,57135.549123649,120.0,,,,BE0809819049,13.0
749,European Energy Exchange AG,Companies and groups,156888.561432738,273.0,DEUTSCHE BOERSE AG,5632.0,11078.0,DE3150259109,6.0
750,ATREVIA COMUNICACIÓN,Professional consultancies,24992.9451965097,188.0,SERENDIPIA ACTIVACIONES SL.,0.0,1.0,ESB67253732,4.0
751,Fundacja Instytut Spraw Publicznych,Think tanks and research institutions,1852.21676588058,20.0,,,,PL011116330,1.0
752,Teamarbejdsliv,Professional consultancies,,11.0,,,,DK28514638,2.0
753,Agora Spółka Akcyjna,,,,,,,,1.0
754,Stichting Katholieke Universiteit Tilburg,,2033720.75291872,12195.0,,,,NL41055629,1.0
755,Fundación Alternativas,Think tanks and research institutions,,,,,,ESG81845083,1.0
756,LEGAMBIENTE NAZIONALE – APS – RETE ASSOCIATIVA – ETS,"Non-governmental organisations, platforms and networks and similar",,,,,,IT80458470582,2.0
757,Moody's Shared Services UK Ltd.,Companies and groups,134603.294608593,198.0,MOODY'S CORPORATION,5468.0,14426.0,GB07822552,4.0
758,Europe's People's Forum,"Non-governmental organisations, platforms and networks and similar",,,,,,DK38364367,5.0
759,SAS Institute,Companies and groups,88083.7314685035,242.0,MR HOWARD GOODNIGHT JAMES,,,FR327957106,1.0
760,ΕΛΛΗΝΙΚΗ ΕΝΩΣΗ ΤΡΑΠΕΖΩΝ,Trade unions and professional associations,,,,,,,2.0
761,The European Steel Association,Trade and business associations,,,,,,,53.0
762,Freshfields Bruckhaus Deringer LLP,Law firms,2138573.54843616,4927.0,PARTNERS OF FRESHFIELDS BRUCKHAUS DERINGER LLP,,,GBOC334789,3.0
763,Union Internationale des Cinémas,Trade and business associations,,1.0,,,,BE0842620984,3.0
764,European Union of Private Hospitals,Trade unions and professional associations,,,,,,,2.0
765,Penta (formerly Hume Brophy),Professional consultancies,3680.0,3.0,,,,US295946708L,8.0
766,Stichting Aidsfonds - Soa Aids Nederland,"Non-governmental organisations, platforms and networks and similar",,75.0,,,,NL41207989,4.0
767,International Partnership for Human Rights,"Non-governmental organisations, platforms and networks and similar",4976.71710481882,6.0,,,,BE0897091038,1.0
768,Business for Inclusive Growth,Trade and business associations,,, ,,,FR884182320,3.0
769,Dopper,Companies and groups,2151.94058418274,14.0,,,,DE4250100426,1.0
770,Negative Emissions Platform,Trade and business associations,,1.0,,,,BE0762777118,1.0
771,Food Transition Coalition of The Netherlands,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
772,Wind Energy Ireland,Trade and business associations,,,,,,IE358393T,1.0
773,Both ENDS,"Non-governmental organisations, platforms and networks and similar",,11.0,,,,NL41210098,1.0
774,SOS Save Our Spectrum,"Non-governmental organisations, platforms and networks and similar",,,,,,,1.0
775,Association Générale des Producteurs de Blé et autres céréales,Trade unions and professional associations,,, ,,,FR784669095,3.0
776,European Network of National Human Rights Institutions,"Non-governmental organisations, platforms and networks and similar",,11.0,,,,BE0541593956,6.0
777,The Payments Association EU,Trade unions and professional associations,,,,,,LULF12643,3.0
778,Viel & Cie,Companies and groups,1111543.85749459,,MR PATRICK COMBES,,,FR622035749,2.0
779,"Jerónimo Martins, SGPS, S.A.",Companies and groups,27136424.1802692,131094.0,"SOCIEDADE FRANCISCO MANUEL DOS SANTOS, SGPS, S.E.",292.0,2.0,PT500100144,4.0
780,European Association of Geosynthetic product Manufacturers,Trade and business associations,,,,,,NL83348794,1.0
781,European Aluminium AISBL,Trade unions and professional associations,7690.77427305877,23.0,,,,BE0480720716,21.0
782,Accenture PLC,Companies and groups,61594305.0,721000.0,ACCENTURE PUBLIC LIMITED COMPANY,61594.0,721000.0,IE471706,4.0
783,KEMIJOKI OY,Companies and groups,76426.1197316647,42.0,SUOMEN VALTIO/ALV,0.0,2.0,FI01921717,1.0
784,International Fragrance Association,Trade and business associations,,,,,,HK0032427675,3.0
785,Acumen Public Affairs,Professional consultancies,,45.0,GILES KEANE CONSULTING,,,BE0828384849,3.0
786,Open Voice Network,Trade and business associations,,,,,,,1.0
787,Greenwaves Technologies,Companies and groups,5505.82946005583,,,,,FR808076582,1.0
788,Public Private People Partnership Digital Innovation Hub,,,,,,,,3.0
